Time, Distance in Meters, Heart Rate, KPH, Speed, Cadence, StrideLength 
2013-03-29T08:03:40.000Z,6904.16015625,163,14.972399711608887,4.158999919891357,90,1.3863333066304524
2013-03-29T08:03:41.000Z,6908.31982421875,162,14.972399711608887,4.158999919891357,90,1.3863333066304524
2013-03-29T08:03:42.000Z,6912.47021484375,163,14.958000755310058,4.15500020980835,90,1.3850000699361165
2013-03-29T08:03:43.000Z,6916.6201171875,163,14.943600082397461,4.151000022888184,90,1.3836666742960613
2013-03-29T08:03:44.000Z,6920.77978515625,163,14.943600082397461,4.151000022888184,90,1.3836666742960613
2013-03-29T08:03:45.000Z,6924.93017578125,163,14.943600082397461,4.151000022888184,90,1.3836666742960613
2013-03-29T08:03:46.000Z,6929.080078125,163,14.943600082397461,4.151000022888184,90,1.3836666742960613
2013-03-29T08:03:47.000Z,6933.2099609375,164,14.889600563049317,4.136000156402588,90,1.3786667188008626
2013-03-29T08:03:48.000Z,6937.33984375,164,14.853599739074706,4.125999927520752,90,1.375333309173584
2013-03-29T08:03:49.000Z,6941.47021484375,164,14.853599739074706,4.125999927520752,90,1.375333309173584
2013-03-29T08:03:50.000Z,6945.58984375,165,14.853599739074706,4.125999927520752,90,1.375333309173584
2013-03-29T08:03:51.000Z,6949.72021484375,165,14.864400672912598,4.129000186920166,90,1.3763333956400554
2013-03-29T08:03:52.000Z,6953.85009765625,165,14.878799629211425,4.132999897003174,90,1.3776666323343914
2013-03-29T08:03:53.000Z,6957.97998046875,165,14.864400672912598,4.129000186920166,90,1.3763333956400554
2013-03-29T08:03:54.000Z,6962.10009765625,165,14.83920078277588,4.122000217437744,90,1.374000072479248
2013-03-29T08:03:55.000Z,6966.22998046875,165,14.83920078277588,4.122000217437744,90,1.374000072479248
2013-03-29T08:03:56.000Z,6970.35986328125,165,14.864400672912598,4.129000186920166,90,1.3763333956400554
2013-03-29T08:03:57.000Z,6974.490234375,166,14.878799629211425,4.132999897003174,90,1.3776666323343914
2013-03-29T08:03:58.000Z,6978.6201171875,165,14.889600563049317,4.136000156402588,90,1.3786667188008626
2013-03-29T08:03:59.000Z,6982.759765625,165,14.889600563049317,4.136000156402588,90,1.3786667188008626
2013-03-29T08:04:00.000Z,6986.919921875,165,14.958000755310058,4.15500020980835,90,1.3850000699361165
2013-03-29T08:04:01.000Z,6991.080078125,165,14.997599601745605,4.165999889373779,90,1.3886666297912598
2013-03-29T08:04:02.000Z,6995.25,165,15.008400535583496,4.169000148773193,90,1.3896667162577312
2013-03-29T08:04:03.000Z,6999.41015625,165,14.972399711608887,4.158999919891357,90,1.3863333066304524
2013-03-29T08:04:04.000Z,7003.56982421875,165,14.972399711608887,4.158999919891357,90,1.3863333066304524
2013-03-29T08:04:05.000Z,7007.72998046875,164,14.986800384521484,4.163000106811523,90,1.3876667022705078

2013-03-29T08:04:05.000Z,7007.72998046875,164,14.986800384521484,4.163000106811523,90,1.3876667022705078
2013-03-29T08:04:06.000Z,7011.89990234375,165,14.997599601745605,4.165999889373779,90,1.3886666297912598
2013-03-29T08:04:07.000Z,7016.06982421875,165,15.022799491882324,4.172999858856201,90,1.3909999529520671
2013-03-29T08:04:08.000Z,7020.25,164,15.037200164794921,4.177000045776367,90,1.3923333485921223
2013-03-29T08:04:09.000Z,7024.419921875,164,15.022799491882324,4.172999858856201,90,1.3909999529520671
2013-03-29T08:04:10.000Z,7028.58984375,164,14.997599601745605,4.165999889373779,90,1.3886666297912598
2013-03-29T08:04:11.000Z,7032.75,164,14.986800384521484,4.163000106811523,90,1.3876667022705078
2013-03-29T08:04:12.000Z,7036.91015625,164,14.972399711608887,4.158999919891357,90,1.3863333066304524
2013-03-29T08:04:13.000Z,7041.06005859375,164,14.958000755310058,4.15500020980835,90,1.3850000699361165
2013-03-29T08:04:14.000Z,7045.22998046875,164,14.986800384521484,4.163000106811523,90,1.3876667022705078
2013-03-29T08:04:15.000Z,7049.39990234375,164,15.008400535583496,4.169000148773193,90,1.3896667162577312
2013-03-29T08:04:16.000Z,7053.56005859375,163,15.008400535583496,4.169000148773193,90,1.3896667162577312
2013-03-29T08:04:17.000Z,7057.72998046875,164,14.997599601745605,4.165999889373779,90,1.3886666297912598
2013-03-29T08:04:18.000Z,7061.89990234375,164,14.997599601745605,4.165999889373779,90,1.3886666297912598
2013-03-29T08:04:19.000Z,7066.06982421875,164,15.008400535583496,4.169000148773193,90,1.3896667162577312
2013-03-29T08:04:20.000Z,7070.22021484375,164,14.943600082397461,4.151000022888184,90,1.3836666742960613
2013-03-29T08:04:21.000Z,7074.330078125,164,14.799600219726562,4.111000061035156,90,1.3703333536783855
2013-03-29T08:04:22.000Z,7078.43017578125,164,14.759999656677246,4.099999904632568,90,1.3666666348775227
2013-03-29T08:04:23.000Z,7082.52001953125,164,14.7204008102417,4.089000225067139,90,1.3630000750223796
2013-03-29T08:04:24.000Z,7086.60009765625,163,14.709599876403809,4.085999965667725,90,1.3619999885559082
2013-03-29T08:04:25.000Z,7090.68017578125,164,14.666399574279785,4.073999881744385,90,1.3579999605814617
2013-03-29T08:04:26.000Z,7094.759765625,164,14.680800247192384,4.078000068664551,90,1.3593333562215169
2013-03-29T08:04:27.000Z,7098.83984375,164,14.709599876403809,4.085999965667725,90,1.3619999885559082
2013-03-29T08:04:28.000Z,7102.9501953125,163,14.774400329589843,4.104000091552734,90,1.3680000305175781
2013-03-29T08:04:29.000Z,7107.0498046875,164,14.785199546813965,4.10699987411499,90,1.36899995803833
2013-03-29T08:04:30.000Z,7111.169921875,164,14.81399917602539,4.114999771118164,90,1.3716665903727214
2013-03-29T08:04:31.000Z,7115.2900390625,164,14.83920078277588,4.122000217437744,90,1.374000072479248
2013-03-29T08:04:32.000Z,7119.419921875,164,14.878799629211425,4.132999897003174,90,1.3776666323343914
